company,site,fab,room_label,node,domain,capacity_kind,aggregation_eligible,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,2029-Q1,2029-Q2,2029-Q3,2029-Q4,2030-Q1,2030-Q2,2030-Q3,2030-Q4,2031-Q1,2031-Q2,2031-Q3,2031-Q4,2032-Q1,2032-Q2,2032-Q3,2032-Q4,2033-Q1,2033-Q2,2033-Q3,2033-Q4
SK hynix,Cheongju,M15X,Phase 2 CR,1b,dram,production,True,0,0,0,0,0,0,0,10000,20000,30000,30000,30000,28125,26250,24375,22500,20625,18750,16875,15000,11250,7500,3750,0,,,,,,,,,,,,
SK hynix,Cheongju,M15X,Phase 1 CR,1c / 1d transition estimate,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,1875,3750,5625,7500,9375,11250,13125,15000,18750,22500,26250,30000,,,,,,,,,,,,
SK hynix,Cheongju,M15X,Phase 2 CR,1c / 1d transition estimate,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,1875,3750,5625,7500,9375,11250,13125,15000,18750,22500,26250,30000,,,,,,,,,,,,
SK hynix,Icheon,M10,Phase 1 CR,DRAM R&D mix;1a guide unverified,dram,nameplate,False,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,
SK hynix,Icheon,M14,Phase 1 CR,legacy DRAM mix estimate,dram,production,True,,,150000,140000,120000,90000,60000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,,,,,,,,,,
SK hynix,Icheon,M14,Phase 1 CR,1c conditional room allocation,dram,production,True,,,20000,30000,50000,80000,110000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,,,,,,,,,,,,
SK hynix,Icheon,M16,Phase 1 CR,DRAM mix unresolved,dram,production,True,,,85000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
SK hynix,Icheon,M16,Phase 1 CR,legacy1a/1b mix estimate,dram,production,True,0,0,0,0,87500,85000,82500,80000,70000,60000,50000,45000,33750,22500,11250,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
SK hynix,Icheon,M16,Phase 1 CR,1c conversion estimate,dram,production,True,0,0,0,0,2500,5000,7500,10000,20000,30000,40000,45000,56250,67500,78750,90000,90000,90000,90000,90000,90000,90000,90000,90000,,,,,,,,,,,,
SK hynix,Icheon,M16,Phase 2 CR,DRAM mix unresolved,dram,production,True,,,85000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
SK hynix,Icheon,M16,Phase 2 CR,legacy1a/1b mix estimate,dram,production,True,0,0,0,0,87500,85000,82500,80000,70000,60000,50000,45000,33750,22500,11250,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
SK hynix,Icheon,M16,Phase 2 CR,1c conversion estimate,dram,production,True,0,0,0,0,2500,5000,7500,10000,20000,30000,40000,45000,56250,67500,78750,90000,90000,90000,90000,90000,90000,90000,90000,90000,,,,,,,,,,,,
SK hynix,Yongin,Y1,Phase 1 CR,1c (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,60000,60000,45000,30000,15000,0,0,0,,,,,,,,,,,,
SK hynix,Yongin,Y1,Phase 2 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,60000,60000,60000,60000,60000,60000,,,,,,,,,,,,
SK hynix,Yongin,Y1,Phase 3 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,60000,60000,60000,60000,,,,,,,,,,,,
SK hynix,Yongin,Y1,Phase 4 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,60000,60000,,,,,,,,,,,,
SK hynix,Yongin,Y1,Phase 5 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,,,,,,,,,,,,
SK hynix,Yongin,Y1,Phase 6 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,,,,,,,,,,,,
SK hynix,Yongin,Y1,Phase 1 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,30000,45000,60000,60000,60000,,,,,,,,,,,,
SK hynix,Yongin,Y2,Phase 1 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,60000,60000,60000,60000,60000,60000,,,,
SK hynix,Yongin,Y2,Phase 2 CR,1d (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,60000,60000,60000,60000,,,,
SK hynix,Yongin,Y2,Phase 3 CR,0a (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,60000,60000,,,,
SK hynix,Yongin,Y2,Phase 4 CR,0a (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,60000,60000,,,,
SK hynix,Yongin,Y2,Phase 5 CR,0a (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,51000,60000,,,,
SK hynix,Yongin,Y2,Phase 6 CR,0a (planning estimate),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,18000,36000,,,,
SwaySure,Shenzen,SwaySure,Phase 1,DRAM node unverified (legacy/pre1z; future1z/1a reported),dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,Kumamoto,Fab 23.JASM,Phase 2,N3,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,7500,12000,15000,15000,15000,15000,15000,15000,,,,,,,,,,,,
TSMC,Baoshan,Fab 20,Phase 1,N2,logic,production,True,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Baoshan,Fab 20,Phase 2,N2,logic,production,True,0,0,0,0,0,0,0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Baoshan,Fab 20,Phase 3,N2,logic,production,True,0,0,0,0,0,0,0,0,0,0,5000,12500,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TSMC,Baoshan,Fab 20,Phase 3,N2/A14 mix,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Baoshan,Fab 20,Phase 4,A14,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,6000,10000,14000,18000,20000,22000,24000,25000,,,,,,,,,,,,
TSMC,Kaohsiung,Fab 22,Phase 1,N2,logic,production,True,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Kaohsiung,Fab 22,Phase 2,N2,logic,production,True,0,0,0,0,0,0,0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Kaohsiung,Fab 22,Phase 3,N2/A16 mix,logic,production,True,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Kaohsiung,Fab 22,Phase 4,N2/A16 mix,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Kaohsiung,Fab 22,Phase 5,N2 family,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Shalun,Fab 25,Phase 1,A10 (conditional; A12 alternative unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
TSMC,Shalun,Fab 25,Phase 2,A10 (conditional; A12 alternative unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
TSMC,Shalun,Fab 25,Phase 3,A10 (conditional; A12 alternative unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000
TSMC,Shalun,Fab 25,Phase 4,A10 (conditional; A12 alternative unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000
TSMC,Shalun,Fab 25,Phase 5,A10 (conditional; A12 alternative unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000
TSMC,Shalun,Fab 25,Phase 6,A10 (conditional; A12 alternative unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000
TSMC,Shalun,Fab 25,Phase 7,A10 (conditional; A12 alternative unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000
TSMC,Taichung,Fab 25 (formerly registered Fab 24),Phase 1,A14,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Taichung,Fab 25 (formerly registered Fab 24),Phase 2,A14 family (A14/A13/A12 unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Taichung,Fab 25 (formerly registered Fab 24),Phase 3,A14 family (A14/A13/A12 unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Taichung,Fab 25 (formerly registered Fab 24),Phase 4,A14 family (A14/A13/A12 unresolved),logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 1,N5/N4 family,logic,production,True,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 2,N5/N4 family,logic,production,True,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 3,N5/N4 family,logic,production,True,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 4,N5/N4 family,logic,production,True,35000,35000,35000,35000,30000,25000,15000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 4,N3,logic,production,True,0,0,0,0,5000,10000,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 5,N3,logic,production,True,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 6,N3,logic,production,True,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 7,N3,logic,production,True,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 8,N3,logic,production,True,15000,22500,27000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,,,,
TSMC,Tainan,Fab 18,Phase 9,N3 (front-end allocation conditional),logic,production,True,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
TSMC,Tainan,STSP-Expansion,Phase 1,N2 planned,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,10000,15000,18000,21000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,
TSMC,Tainan,STSP-Expansion,Phase 2,N2 planned,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,10000,15000,18000,21000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,
TSMC,Tainan,STSP-Expansion,Phase 3,N2 planned,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,10000,15000,18000,21000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,
TSMC,Arizona,Fab 21,Phase 1,N4,logic,production,True,15000,24000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
TSMC,Arizona,Fab 21,Phase 2,N3,logic,production,True,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
TSMC,Arizona,Fab 21,Phase 3,N2/A16 mix,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
TSMC,Arizona,Fab 21,Phase 4,A14,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
TSMC,Arizona,Fab 21,Phase 5,A10,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12500,20000,25000,25000
YMTC,Wuhan,Wuhan,Phase 3,DRAM node unverified,dram,production,True,0,0,0,0,0,0,0,,5000,10000,20000,25000,35000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,,,,,,,,,,,,
Samsung,Pyeongtaek,P3,Phase 2 CR,SF2 plan,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Arizona,Fab 52,52.1,Intel 18A family,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Leixlip,Fab 34,Module 2,Intel 3 (Intel 4 mix unallocated),logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK hynix,Icheon,M10,Phase 1 CR,DRAM R&D mix;1a guide unverified,dram,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Leixlip,Fab 34,Module 1,Intel 3 (Intel 4 mix unallocated),logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Ohio,Fab 37,Module 1,10A possible; uncommitted,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Ohio,Fab 37,Module 2,10A possible; uncommitted,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Ohio,Fab 57,Module 1,10A possible; uncommitted,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Ohio,Fab 57,Module 2,10A possible; uncommitted,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Ohio,Fab 67,Module 1,10A possible; uncommitted,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Ohio,Fab 67,Module 2,10A possible; uncommitted,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
