company,site,fab,room_label,node,domain,capacity_kind,aggregation_eligible,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,2029-Q1,2029-Q2,2029-Q3,2029-Q4,2030-Q1,2030-Q2,2030-Q3,2030-Q4,2031-Q1,2031-Q2,2031-Q3,2031-Q4,2032-Q1,2032-Q2,2032-Q3,2032-Q4,2033-Q1,2033-Q2,2033-Q3,2033-Q4
Intel,Ohio,Fab 27,Module 2,Advanced logic allocation provisional;14A scenario,logic,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Ohio,Fab 27,Module 2,Advanced logic allocation provisional;14A scenario,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5000,10000,20000,,,,
Intel,Oregon,D1X,Module 3,Intel18A family (guide assignment; room share unverified),logic,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,Oregon,D1X,Module 4,Intel10A (guide planning assignment; unverified),logic,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHICC,Jinjiang,Jinjiang Fab,Phase 1 / modeled CR 1,DRAM node unresolved,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Hiroshima,Hiroshima,B-Building,DRAM mix: 1-beta / 1-gamma; allocation unknown,dram,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Hiroshima,Hiroshima,B-Building,DRAM mix: 1-beta / 1-gamma; allocation unknown,dram,production,True,100000,100000,100000,100000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,,,,,,,,,,,,
Micron,Hiroshima,Hiroshima,Expansion,Advanced DRAM; node allocation unknown,dram,installed,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Hiroshima,Hiroshima,Expansion,Advanced DRAM; node allocation unknown,dram,production,True,,,,,,,,,,,,,,,,15000,30000,45000,45000,45000,45000,45000,45000,45000,,,,,,,,,,,,
Micron,Taichung,Fab 25 (formerly registered Fab 24),A1,DRAM mix unresolved; guide1beta,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Taichung,Fab 25 (formerly registered Fab 24),A2,DRAM mix unresolved; guide1beta,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Taichung,Fab 25 (formerly registered Fab 24),A3 P1+P2,DRAM node mix unresolved; 1gamma transition context,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Taoyuan,Fab 11,Inotera Fab 1,DRAM node mix unresolved; guide 1a,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Taoyuan,Fab 11,Inotera Fab 1a,DRAM node mix unresolved; guide 1b,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Taoyuan,Fab 11,Inotera Fab 2,DRAM node mix unresolved; guide 1b,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Tongluo,New Tongluo,Phase 1 CR,Leading-edge DRAM (1d analyst planning assignment),dram,production,True,,,,,,,,,,,,,,,,,,15000,15000,15000,20000,30000,40000,42500,,,,,,,,,,,,
Micron,Tongluo,PSMC P5,Phase 1 CR,Leading-edge DRAM (1c analyst assignment unconfirmed),dram,production,True,,,,,,,,,,15000,30000,30000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,,,,,,,,,,,,
Micron,Idaho,Fab 4,Building C+D+E,DRAM R&D node mix unresolved,dram,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Idaho,Fab 4,Building 50,DRAM R&D node mix unresolved,dram,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Idaho,Fab 4,Building 51,DRAM R&D node mix unresolved,dram,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Idaho,ID Fab,Phase 1,Advanced DRAM; room node unverified,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Idaho,ID Fab,Phase 2,Advanced DRAM; room node unverified,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,New York,Clay Fab 1,Phase 1A,Future leading-edge DRAM (0a guide label unconfirmed),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Micron,New York,Clay Fab 1,Phase 1B,Future leading-edge DRAM (0a guide label unconfirmed),dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Micron,New York,Clay Fab 2,Phase 2A,Advanced DRAM; node TBD,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Micron,New York,Clay Fab 2,Phase 2B,Advanced DRAM; node TBD,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Micron,Virginia,Fab 6,Module 1,DRAM mix; 1alpha transition share unallocated,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micron,Virginia,Fab 6,Expansion,DRAM mix; 1alpha transition share unallocated,dram,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanya,"Taishan, New Taipei",Fab 5A,Lower deck,1B/1C/1D/1E mix; EUV planned,dram,production,True,0,0,0,0,0,0,0,0,0,0,1500,5000,10000,17500,22500,22500,22500,22500,22500,22500,22500,22500,22500,22500,,,,,,,,,,,,
Nanya,"Taishan, New Taipei",Fab 5A,Upper deck,1B/1C/1D/1E mix; EUV planned,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,7500,9500,11500,13400,13400,13400,13400,13400,13400,,,,,,,,,,,,
Rapidus,Hokkaido,Chitose,IIM-1,2nm GAA,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,6000,12000,18000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
Rapidus,Hokkaido,Chitose,IIM-2,1.4nm plan,logic,production,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Hwaseong,Line 12,Phase 1,1b/1c BEOL support,dram,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Hwaseong,Line 15,Phase 1,1a/1b/1c mix unresolved,dram,production,True,100000,100000,97000,97000,100000,100000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,,,,,,,,,,,,
Samsung,Hwaseong,Line 15,Phase 2,1a/1b/1c mix unresolved,dram,production,True,75000,75000,73000,73000,75000,75000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,,,,,,,,,,,,
Samsung,Hwaseong,Line 17,S3 Line,SF2 / legacy transition mix unresolved,logic,production,True,,,,,20000,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Samsung,Hwaseong,Line 17,S3 Line,SF2 (conditional allocation),logic,production,True,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,,,,,,,,,,,,
Samsung,Hwaseong,Line 17,Multiple,DRAM 1b/1z/1c mix unresolved,dram,production,True,140000,130000,120000,100000,95000,90000,90000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Samsung,Hwaseong,Line 17,Multiple,legacy DRAM (1b/1z mix unresolved),dram,production,True,0,0,0,0,0,0,0,0,68000,51000,25500,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Samsung,Hwaseong,Line 17,Multiple,1c,dram,production,True,0,0,0,0,0,0,0,0,17000,34000,59500,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,,,,,,,,,,,,
Samsung,Hwaseong,V1,CleanRoom2,SF4/5,logic,production,True,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,
Samsung,Hwaseong,V1,CleanRoom1,SF3,logic,production,True,5000,5000,3000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Samsung,Hwaseong,V1,CleanRoom1,SF2,logic,production,True,0,0,1500,3500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,
Samsung,Hwaseong,V1,CleanRoom3,SF3,logic,production,True,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,
Samsung,Giheung,NRD-K,Phase 1,SF1.4 research,logic,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Giheung,NRD-K,Phase 2,SF2 send-fab proposal; previous SF1.0 R&D,logic,production,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Pyeongtaek,P1,Phase 1 CR1,1b,dram,production,True,27500,27500,30000,30000,30000,24000,12000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Samsung,Pyeongtaek,P1,Phase 1 CR1,1c,dram,production,True,0,0,0,0,0,3000,15000,24000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,,,,
Samsung,Pyeongtaek,P1,Phase 1 CR2,1b,dram,production,True,27500,27500,30000,30000,30000,24000,12000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Samsung,Pyeongtaek,P1,Phase 1 CR2,1c,dram,production,True,0,0,0,0,0,3000,15000,24000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,,,,,,,,,,
